frame,node_id,name,zh,en,source,var,action,note,text,id
organize/hub,300:502,title,整理,Organize,matched,org.title,bind,slot;key=org_title,整理,300:502
organize/hub,300:504,label,扫描,Scan,manual-fixed,org.scan.label,bind,slot,扫描,300:504
organize/hub,267:36,title,整理,Organize,matched,org.title,bind,slot;key=org_title,整理,267:36
organize/hub,267:143,label,预计可释放,Estimated reclaimable,matched,org.hero.label,bind,slot;key=org_hero_label,预计可释放,267:143
organize/hub,267:39,sub,覆盖 6 个类目 · 并集估算,Across 6 categories · union estimate,manual-fixed,org.hero.sub,bind,slot,覆盖 6 个类目 · 并集估算,267:39
organize/hub,267:48,tidy,滑动整理,Swipe to tidy,matched,org.quick.tidy,bind,slot;key=org_quick_tidy,滑动整理,267:48
organize/hub,267:70,categories,类目,Categories,matched,org.categories,bind,slot;key=org_categories,类目,267:70
organize/hub,267:737,duplicates,重复与相似照片,Duplicates & similar,matched,org.cat.duplicates,bind,slot;key=org_cat_duplicates,重复与相似照片,267:737
organize/hub,267:738,groups132,132 组 · 1.2 GB,132 groups · 1.2 GB,manual-fixed,org.meta.groups132,bind,slot,132 组 · 1.2 GB,267:738
organize/hub,267:748,screen,截图与录屏,Screenshots & recordings,matched,org.cat.screen,bind,slot;key=org_cat_screen_content,截图与录屏,267:748
organize/hub,267:749,items86,86 个项目 · 312 MB,86 items · 312 MB,matched,org.meta.items86,bind,slot;key=org_cat_meta,86 个项目 · 312 MB,267:749
organize/hub,267:759,blurry,模糊与低质量,Blurry & low quality,matched,org.cat.blurry,bind,slot;key=org_cat_blurry,模糊与低质量,267:759
organize/hub,267:760,items45,45 个项目 · 128 MB,45 items · 128 MB,matched,org.meta.items45,bind,slot;key=org_cat_meta,45 个项目 · 128 MB,267:760
organize/hub,267:770,portraits,低质量人像,Low-quality portraits,matched,org.cat.portraits,bind,slot;key=org_cat_portraits,低质量人像,267:770
organize/hub,267:771,items23,23 个项目 · 64 MB,23 items · 64 MB,matched,org.meta.items23,bind,slot;key=org_cat_meta,23 个项目 · 64 MB,267:771
organize/hub,267:781,large,大文件,Large files,matched,org.cat.large,bind,slot;key=org_cat_large_files,大文件,267:781
organize/hub,267:782,items12,12 个项目 · 1.6 GB,12 items · 1.6 GB,matched,org.meta.items12,bind,slot;key=org_cat_meta,12 个项目 · 1.6 GB,267:782
organize/hub,267:792,documents,文档与票据,Documents & receipts,matched,org.cat.documents,bind,slot;key=org_cat_documents,文档与票据,267:792
