frame,node_id,name,zh,en,source,var,action,note,text,id
chat/empty,111:341,EmptyTitle,你好，我是智能助手小浪,"Hi, I'm Xiaolang",matched,chat.empty.welcome,bind,,你好，我是智能助手小浪,111:341
chat/empty,111:343,EmptySubtitle,我能搜相册·修图·调美颜·找人找场景，随便问！,"Search, edit, beautify — ask me anything!",matched,chat.empty.capabilities,bind,,我能搜相册·修图·调美颜·找人找场景，随便问！,111:343
chat/empty,111:346,TryLabel,试试这些：,Try these:,manual,chat.empty.try.label,bind,"虚构:老设计标签,无 strings key",试试这些：,111:346
chat/empty,111:540,chipText,找去年夏天的照片,Find photos from last summer,manual,chat.example.prompt.last.summer,bind,"manual→array chat_example_prompts_search[0](ChatEmptyState.kt:141 stringArrayResource); layout-fix: chips 2列→1列×6行(任意两枚 EN chip 并列>393,单枚最大258;行序保持阅读序)+flexSpacer 198→86 补高",找去年夏天的照片,111:540
chat/empty,111:543,chipText,搜索海边的照片,Search for seaside photos,manual,chat.empty.chip.seaside,bind,"虚构:老设计 chip,现版数组无此项; layout-fix: EN 措辞收紧 Search for seaside photos→Search seaside photos (虚构槽位,chip 宽约束)",搜索海边的照片,111:543
chat/empty,111:546,chipText,找有人物的照片,Find photos with people,manual,chat.example.prompt.people,bind,manual→array chat_example_prompts_search[1]; layout-fix: 同 111:540 chips 重排,找有人物的照片,111:546
chat/empty,111:549,chipText,搜索夜景照片,Search for night scene photos,manual,chat.example.prompt.night,bind,manual→array chat_example_prompts_search[2]; layout-fix: 同 111:540 chips 重排,搜索夜景照片,111:549
chat/empty,111:552,chipText,给我一份相册健康报告,Give me a gallery health report,manual,chat.example.prompt.health.report,bind,manual→array chat_example_prompts_ask[0];zh 升格 canvas 健康度报告→app 健康报告; layout-fix: 同 111:540 chips 重排,给我一份相册健康度报告,111:552
chat/empty,111:555,chipText,按标签和时间交叉分析我的照片,Cross-analyze my photos by tags and time,manual,chat.empty.chip.crossanalyze,bind,"虚构:老设计 chip,现版数组无此项; layout-fix: EN 措辞收紧→Analyze photos by tag & time (虚构槽位,chip 宽约束)",按标签和时间交叉分析我的照片,111:555
chat/empty,111:366,InputPlaceholder,向 AI 助手提问…,Ask AI Agent...,matched,chat.input.hint,bind,"multi:ai_agent_input_hint,chat_input_hint,floating_chat_input_hint→chat_input_hint(ChatScreen.kt:1982 主聊天输入;ai_agent=AiChatPanel,floating=悬浮泡)",向 AI 助手提问…,111:366
chat/empty,111:371,ModelName,deepseek-v4-flash,deepseek-v4-flash,literal,,skip,"data; layout-fix: 节点已删(ModelCapsule 111:369)—EN 底栏总固有宽 401>337,Voice/Send 按钮压尾字致 AI Engin 截断;app 已移除 model 胶囊(ChatScreen.kt:2023),画布滞后同步",deepseek-v4-flash,111:371
chat/empty,111:375,GalleryLabel,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings→gallery(ChatScreen.kt:2029 底栏);复用 Task3 gallery.title; layout-fix: 底栏容器密度收敛(旧设计多塞 model chip 致 EN 溢出;app 已移除 model 胶囊,ChatScreen.kt:2023): chip padding 10→6/gap 8→6,内 gap 6→5",相册,111:375
chat/empty,111:379,EngineerLabel,AI 工程师,AI Engineer,matched,claude.icon.desc,bind,layout-fix: 同 111:375 底栏密度收敛,AI 工程师,111:379
chat/conversation,111:567,AgentText1,根据刚才的数据，大宝的照片有 262 张，是所有已命名人物中出现频次最高的。,"Based on that data, Dabao has 262 photos — the highest count among all named people.",manual,chat.conv.agent.reply.stats,bind,"虚构:设计示例回复,语义翻译(EN 自然对话体)",根据刚才的数据，大宝的照片有 262 张，是所有已命名人物中出现频次最高的。,111:567
chat/conversation,111:568,PerfRow1,8818 tok · 53 · 1830ms · 29.0 t/s,8818 tok · 53 · 1830ms · 29.0 t/s,literal,,skip,data,8818 tok · 53 · 1830ms · 29.0 t/s,111:568
chat/conversation,111:403,UserText,去年大宝的照片,Photos of Dabao from last year,manual,chat.conv.user.query,bind,"虚构:示例用户消息,语义翻译",去年大宝的照片,111:403
chat/conversation,111:405,MediaTitle,找到 1598 张「去年大宝」的照片,"Found 1598 photos matching ""Dabao from last year""",manual,chat.conv.media.result,bind,"manual→key chat_results_found(%1$s=去年大宝→Dabao from last year,%2$d=1598 实例); layout-fix: width hug→fill_container (EN 354>353 出父容器被裁)",找到 1598 张「去年大宝」的照片,111:405
chat/conversation,111:441,DateText,2025-12-31,2025-12-31,literal,,skip,data,2025-12-31,111:441
chat/conversation,111:443,DateText,2025-12-31,2025-12-31,literal,,skip,data,2025-12-31,111:443
chat/conversation,111:445,DateText,2025-12-30,2025-12-30,literal,,skip,data,2025-12-30,111:445
chat/conversation,111:574,AgentText2,"找到了！去年大宝的照片共有 1,598 张，已经展示在卡片中供你浏览。需要我帮你进一步筛选吗？比如只看周末、室内或者合照。","Found them! You have 1,598 photos of Dabao from last year, now shown in the card for you to browse. Want me to narrow it down — weekends only, indoors, or group shots?",manual,chat.conv.agent.reply.found,bind,"虚构:设计示例回复,语义翻译","找到了！去年大宝的照片共有 1,598 张，已经展示在卡片中供你浏览。需要我帮你进一步筛选吗？比如只看周末、室内或者合照。",111:574
chat/conversation,111:575,PerfRow2,17649 tok · 149 · 2400ms · 62.1 t/s,17649 tok · 149 · 2400ms · 62.1 t/s,literal,,skip,data,17649 tok · 149 · 2400ms · 62.1 t/s,111:575
chat/conversation,111:475,InputPlaceholder,向 AI 助手提问…,Ask AI Agent...,matched,chat.input.hint,bind,同 111:366,向 AI 助手提问…,111:475
chat/conversation,111:480,ModelName,deepseek-v4-flash,deepseek-v4-flash,literal,,skip,data; layout-fix: 节点已删(ModelCapsule 111:478)—同 111:371 根因(EN 401>337 重叠 64px),deepseek-v4-flash,111:480
chat/conversation,111:484,GalleryLabel,相册,Gallery,matched,gallery.title,bind,multi 消歧同 111:375; layout-fix: 同 111:375 底栏密度收敛(conversation 帧),相册,111:484
chat/conversation,111:488,EngineerLabel,AI 工程师,AI Engineer,matched,claude.icon.desc,bind,layout-fix: 同 111:375 底栏密度收敛(conversation 帧),AI 工程师,111:488
