frame,node_id,name,zh,en,source,var,action,note,text,id
gallery/empty,103:4,quote_text,生活不是我们活过的日子，而是我们记住的日子。,"Life is not the days we lived, but the days we remember.",manual,gallery.empty.quote,bind,fiction:quote→EN译,生活不是我们活过的日子，而是我们记住的日子。,103:4
gallery/empty,103:5,quote_author,— 加西亚·马尔克斯,— Gabriel García Márquez,manual,gallery.empty.quote.author,bind,fiction:author→EN译,— 加西亚·马尔克斯,103:5
gallery/empty,107:60,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:60
gallery/info,105:3,title,图片信息,Image Info,manual,image.info,bind,manual→key image_info;canvas 照片信息→app 实文,照片信息,105:3
gallery/info,105:4,done,完成,Done,matched,done,bind,"multi:done,tag_scan_state_completed",完成,105:4
gallery/info,105:7,label,文件名,File name,matched,media.info.file.name,bind,,文件名,105:7
gallery/info,105:8,value,IMG_20260816_102344.jpg,IMG_20260816_102344.jpg,literal,,skip,data,IMG_20260816_102344.jpg,105:8
gallery/info,105:10,label,类型,Type,matched,media.info.type,bind,,类型,105:10
gallery/info,105:11,value,照片,Photo,matched,media.type.photo,bind,multi改选:media_type_photo=信息面板实际键(photo=PHOTO 为相机模式键),照片,105:11
gallery/info,105:13,label,拍摄日期,Date taken,matched,media.info.capture.date,bind,match改选:media_info_capture_date=信息面板实际键(group_date 为分组菜单),日期,105:13
gallery/info,105:14,value,2026年8月16日 10:23,"Aug 16, 2026 10:23",manual,gallery.info.date.value,bind,fiction:本地化日期格式,2026年8月16日 10:23,105:14
gallery/info,105:16,label,来源,Source,matched,media.info.source,bind,,来源,105:16
gallery/info,105:17,value,相机拍摄,Camera,manual,gallery.info.source.value,bind,fiction:asset.source 数据值,相机拍摄,105:17
gallery/info,105:19,label,位置,Location,matched,media.info.location,bind,,位置,105:19
gallery/info,105:20,value,北京市朝阳区,"Chaoyang District, Beijing",manual,gallery.info.location.value,bind,fiction:位置数据,北京市朝阳区,105:20
gallery/info,105:25,label,美学评分,Aesthetic score,matched,media.info.aesthetic.score,bind,,美学评分,105:25
gallery/info,105:26,value,7.2 / 10,7.2 / 10,literal,,skip,data,7.2 / 10,105:26
gallery/info,105:28,label,人脸信息,Face info,matched,media.info.face.section,bind,,人脸信息,105:28
gallery/info,105:29,value,1 张 · 质量 0.82,1 photo · quality 0.82,manual,gallery.info.face.value,bind,fiction:人脸区压缩行,1 张 · 质量 0.82,105:29
gallery/info,105:37,section_title,标签,Tags,matched,tag.viewer.section.tags.field,bind,"multi 核验:tag_viewer_section_tags_field=真实键(标签/Tags),保留",标签,105:37
gallery/info,105:39,chip,海边,Seaside,manual,gallery.info.tag.seaside,bind,fiction:标签chip,海边,105:39
gallery/info,105:40,chip2,日落,Sunset,manual,gallery.info.tag.sunset,bind,fiction:标签chip,日落,105:40
gallery/info,105:41,chip3,沙滩,Beach,manual,gallery.info.tag.beach,bind,fiction:标签chip,沙滩,105:41
gallery/info,105:43,section_title,识别文字,OCR text,manual,media.info.ocr.text,bind,manual→key media_info_ocr_text;canvas OCR 文本→app 实文,OCR 文本,105:43
gallery/info,105:44,ocr_body,Summer vacation 2026 · Beidaihe,Summer vacation 2026 · Beidaihe,literal,,skip,data,Summer vacation 2026 · Beidaihe,105:44
gallery/grid,105:47,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,105:47
gallery/grid,107:33,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:33
gallery/grid,107:34,group_count,(6),(6),literal,,skip,data,(6),107:34
gallery/grid,107:35,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:35
gallery/grid,107:36,group_count,(3),(3),literal,,skip,data,(3),107:36
gallery/search,107:120,placeholder,按内容、地点、文字搜索…,"Search by content, location, text…",matched,gallery.search.hint,bind,,按内容、地点、文字搜索…,107:120
gallery/search,107:123,result_count,12 张,12 photos,manual,gallery.search.result.count,bind,fiction:含中文单位→bind 译EN,12 张,107:123
gallery/search,107:126,group_title,搜索 “海边”,Search “Seaside”,manual,gallery.search.group.title,bind,fiction:搜索组标题实例,搜索 “海边”,107:126
gallery/search,107:127,group_count,(12),(12),literal,,skip,data,(12),107:127
gallery/search_no_result,107:163,placeholder,按内容、地点、文字搜索…,"Search by content, location, text…",matched,gallery.search.hint,bind,,按内容、地点、文字搜索…,107:163
gallery/search_no_result,107:160,result_count,12 张,12 photos,manual,gallery.search.result.count,bind,fiction:含中文单位→bind 译EN,12 张,107:160
gallery/search_no_result,107:168,no_result_msg,"未找到匹配 ""冬天"" 的照片","No photos matching ""winter""",manual,search.no.matching.photos,bind,manual→key search_no_matching_photos;引号统一 app 直引号,未找到匹配 “冬天” 的照片,107:168
gallery/scanning,107:191,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:191
gallery/scanning,107:231,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:231
gallery/scanning,107:232,group_count,(6),(6),literal,,skip,data,(6),107:232
gallery/scanning,107:239,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:239
gallery/scanning,107:240,group_count,(3),(3),literal,,skip,data,(3),107:240
gallery/sort_menu,107:266,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:266
gallery/sort_menu,107:304,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:304
gallery/sort_menu,107:305,group_count,(6),(6),literal,,skip,data,(6),107:305
gallery/sort_menu,107:312,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:312
gallery/sort_menu,107:313,group_count,(3),(3),literal,,skip,data,(3),107:313
gallery/sort_menu,107:340,label,日期,Date,manual,group.date,bind,manual→key group_date;按日期分组→app 实文(分组菜单为简短名词),按日期分组,107:340
gallery/sort_menu,107:344,label,人脸,Face,manual,group.face,bind,manual→key group_face;按人脸分组→app 人脸,按人脸分组,107:344
gallery/sort_menu,107:346,label,人物,Person,manual,group.person,bind,manual→key group_person;按人物分组→app 人物,按人物分组,107:346
gallery/sort_menu,107:348,label,风景,Landscape,manual,landscape,bind,manual→key landscape;按风景分组→app 风景,按风景分组,107:348
gallery/sort_menu,107:350,label,地点,Location,manual,gallery.group.location,bind,manual→key gallery_group_location;按位置分组→app 地点,按位置分组,107:350
gallery/sort_menu,107:352,label,全部,All,manual,group.none,bind,manual→key group_none;不分组→app 全部,不分组,107:352
gallery/selection,107:355,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:355
gallery/selection,107:389,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:389
gallery/selection,107:390,group_count,(6),(6),literal,,skip,data,(6),107:390
gallery/settings,118:5,title,相册,Gallery,manual,gallery.settings,removed,manual→key gallery_settings(TagControlScreen 顶栏);canvas 相册设置→app 相册; 2026-09-05 v1 帧整体删除(与 tag_control 冲突;结构已被 v2 覆盖),相册设置,118:5
gallery/settings,118:7,secLabelA,相册打标,Gallery Tagging,manual,gallery.features,removed,manual→key gallery_features;canvas 相册功能→app 相册打标; 2026-09-05 GPU 卡收口至 tag_control 底部;本节点删除,相册功能,118:7
gallery/settings,118:14,t,管理重复照片,Manage Duplicates,manual,manage.duplicates,removed,manual→key manage_duplicates;canvas 重复图管理→app 管理重复照片; 2026-09-05 v1 帧整体删除(与 tag_control 冲突;结构已被 v2 覆盖),重复图管理,118:14
gallery/settings,118:15,st,查找并删除重复或相似照片，释放存储空间。,Find and remove duplicate or similar photos to free up space.,manual,duplicate.manager.desc,removed,"manual→key duplicate_manager_desc(app 全文,canvas 为缩写); layout-fix: width hug→fill_container (EN 长文折行, 消除 83px 溢出); 2026-09-05 v1 帧整体删除(与 tag_control 冲突;结构已被 v2 覆盖)",查找并删除重复相似照片，释放空间,118:15
